No,weight_insect,family_insect,number_insect,ferns,herbaceous_plants,dwarf_bamboos,bare,shrub,vines,hight,litter,moss,hpa,mouse_p_a,mouse,area,day
1,0.49541,1,14,0,53.33333333,0,46.66666667,0,0,70,0,0,0,presence,1,legacy,133
2,0.10619,1,3,26.66666667,33.33333333,1.666666667,56.66666667,3.333333333,0,20,3.333333333,0,0,presence,26,legacy,133
3,0.62821,3,12,40,43.33333333,0,30,0.333333333,0,33.33333333,33.33333333,1.666666667,1.8568242,presence,61,legacy,117
4,0.87055,5,32,0,43.33333333,8.333333333,5,1.666666667,0,58.33333333,41.66666667,0,14.78085,presence,32,legacy,132
5,1.57795,2,37,1.666666667,36.66666667,30,20,1.666666667,0.333333333,56.66666667,20,0,0.9320495,presence,5,legacy,132
6,0.03451,1,1,26.66666667,56.66666667,11.66666667,8.333333333,6.666666667,0,33.33333333,5,21.66666667,5.3696335,presence,2,legacy,133
7,0.00745,1,1,0,18.33333333,6.666666667,56.66666667,21.66666667,0,21.66666667,15,0,0,presence,1,legacy,132
8,2.13221,5,57,33.33333333,41.66666667,0,0,9.666666667,0.333333333,21.66666667,43.33333333,28.33333333,6.9439006,presence,0,legacy,132
9,0.31138,1,6,18.33333333,11.66666667,0,80,0.333333333,0.333333333,40,0,0,0,absence,0,plantation,133
10,0.0495,1,2,0,35,18.33333333,46.66666667,0.666666667,0,45,0,0,0,presence,1,plantation,94
11,0,0,0,10,35,0,55,0,0,53.33333333,0,0,0,absence,0,plantation,94
12,0.08838,1,4,5,66.66666667,3.333333333,13.33333333,1.666666667,0.333333333,50,16.66666667,0,0,presence,6,plantation,133
13,0.38701,1,8,3.333333333,56.66666667,0,20,0,0,56.66666667,15,8.333333333,0,presence,14,plantation,133
14,0.51344,2,15,18.33333333,70,3.333333333,6.666666667,0.333333333,0,106.6666667,15,0,0,presence,0,plantation,94
15,1.36767,3,39,6.666666667,30,0,66.66666667,1,0,63.33333333,16.66666667,11.66666667,0,presence,45,plantation,94
16,1.82213,4,41,23.33333333,50,0,31.66666667,3.666666667,0,33.33333333,11.66666667,5,0,presence,5,plantation,133
